episode,reward,steps,run_id
0,-165.78696575244814,200,run_001
0,-431.2401490217163,200,run_002
0,-425.507191824638,200,run_003
0,-264.3004584824343,200,run_004
0,-276.6927310250994,200,run_005
0,-248.72889741703145,200,run_006
0,-379.3429430011016,173,run_007
0,-240.9381930032411,200,run_008
0,-331.76305375165333,172,run_009
0,-387.04314011943,168,run_010
0,-350.17712408276685,177,run_011
0,-370.13121329251095,200,run_012
0,-420.494634632784,200,run_013
0,-222.38820186300043,200,run_014
0,-374.27337904179234,182,run_015
0,-256.0448292197662,200,run_016
0,-438.9135841455087,200,run_017
0,-430.5238018178405,190,run_018
0,-266.6655721083858,200,run_019
0,-450.0847935938886,171,run_020
0,-131.26664492342303,200,run_021
0,-441.124593826153,179,run_022
0,-445.073568736058,197,run_023
0,-308.1312591325268,191,run_024
0,-296.96461680784944,200,run_025
0,-396.7242997352458,181,run_026
0,-372.6682969698425,200,run_027
0,-351.1316225629524,184,run_028
0,-405.8450943556714,176,run_029
0,-322.42880509318405,198,run_030
0,-397.3164062021249,200,run_031
0,-387.20274079898513,200,run_032
0,-336.6162311918704,177,run_033
0,-291.4713419200121,200,run_034
0,-373.5679294535253,200,run_035
0,-384.00907781792006,185,run_036
0,-437.24668061095406,200,run_037
0,-395.1843506417685,171,run_038
0,-301.2424009663958,200,run_039
0,-422.81691547695584,200,run_040
0,-406.7851816173298,187,run_041
0,-301.32324584403966,200,run_042
0,-246.1941496638085,200,run_043
0,-276.7977395549171,171,run_044
0,-405.28900453188567,187,run_045
0,-359.4919775733679,188,run_046
0,-343.30993027247774,200,run_047
0,-429.8978352108237,174,run_048
0,-334.8898036775914,200,run_049
0,-458.28952909284817,186,run_050
0,-408.0733462874079,200,run_051
0,-446.9204217135384,188,run_052
0,-393.430161931928,200,run_053
0,-418.21671233732457,166,run_054
0,-313.2289924077439,200,run_055
0,-332.4609072200978,170,run_056
0,-274.35326996724183,200,run_057
0,-293.359992490523,198,run_058
0,-394.6498631338391,184,run_059
0,-382.6853911696898,169,run_060
0,-257.91214776053187,200,run_061
0,-247.10637263435385,200,run_062
0,-367.6742081640058,200,run_063
0,-316.6055664174303,200,run_064
0,-420.7935623774285,200,run_065
0,-467.0100133119929,199,run_066
0,-389.39847787912487,198,run_067
0,-286.09791608430857,200,run_068
0,-266.0435633313931,200,run_069
0,-302.83461258989144,200,run_070
0,-199.73711177113813,184,run_071
0,-324.7111980220471,200,run_072
0,-279.9839418744352,200,run_073
0,-157.24434734842475,200,run_074
0,-422.929232755424,197,run_075
0,-319.30707132618915,169,run_076
0,-271.8614812586846,200,run_077
0,-358.0149366148169,200,run_078
0,-230.67232602647115,200,run_079
0,-357.96256810727044,200,run_080
0,-380.2540376437324,178,run_081
0,-290.7264832976159,182,run_082
0,-282.23803065568313,173,run_083
0,-347.6374869931826,170,run_084
0,-369.4537370502911,200,run_085
0,-316.58870883745107,200,run_086
0,-299.46835874105864,200,run_087
0,-307.8281039882617,200,run_088
0,-370.2758003755277,168,run_089
0,-368.6748991796162,174,run_090
0,-243.79643352685463,200,run_091
0,-373.113000310976,181,run_092
0,-357.38886189538505,200,run_093
0,-341.6889213242288,191,run_094
0,-486.9285495164922,200,run_095
0,-303.05366725322,200,run_096
0,-272.05998535636206,200,run_097
0,-186.07699790613012,200,run_098
0,-261.29271518816995,200,run_099
0,-333.6406496534201,200,run_100
